                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.0544,                0.63988,                0.99767,                0.80594,                0.78703,                0.84855,                0.53293,                 1.1928,                0.67748,                 1.0488,               0.006931,               0.006931,               0.006931
                     65,                 1.0483,                0.63122,                0.99429,                0.80874,                0.78525,                0.84802,                0.53357,                 1.1923,                0.67791,                 1.0474,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.0419,                0.62714,                0.99259,                0.80836,                0.78516,                0.84776,                0.53245,                 1.1936,                0.68171,                 1.0462,               0.006832,               0.006832,               0.006832
                     67,                 1.0456,                0.62938,                0.99246,                0.80542,                0.79064,                0.84731,                0.53124,                 1.1936,                 0.6799,                 1.0447,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.0443,                0.62748,                0.99322,                0.80785,                 0.7857,                0.84563,                0.53096,                 1.1925,                0.68329,                 1.0471,               0.006733,               0.006733,               0.006733
                     69,                 1.0347,                0.62709,                0.98961,                0.80754,                0.78865,                0.85041,                0.53419,                 1.1922,                0.68054,                 1.0466,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.0367,                0.62425,                0.99097,                0.81106,                0.78452,                0.84951,                0.53325,                 1.1895,                0.67581,                 1.0459,               0.006634,               0.006634,               0.006634
                     71,                 1.0284,                0.61952,                0.98987,                 0.8023,                0.79012,                 0.8475,                0.53287,                  1.191,                0.67664,                 1.0465,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.0292,                0.61789,                0.98934,                0.80132,                0.79823,                0.84967,                0.53241,                 1.1922,                0.67641,                 1.0486,               0.006535,               0.006535,               0.006535
                     73,                 1.0278,                0.61625,                0.98797,                0.80192,                0.79293,                0.84887,                0.53446,                 1.1897,                0.67565,                 1.0457,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.0164,                0.61042,                0.98278,                0.79551,                0.80074,                 0.8485,                0.53658,                 1.1841,                0.67388,                 1.0431,               0.006436,               0.006436,               0.006436
